nhom_chinh,so_la_ma,nhom_phu,tt,role,ten_goc,ten_sach,ma_ky_hieu,gia_tri_1000d
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),2,MAT_HANG,Ghế tựa gỗ có đệm,Ghế tựa gỗ có đệm,,462649
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),3,MAT_HANG,Ghế tựa sắt có đệm,Ghế tựa sắt có đệm,,888800
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),4,MAT_HANG,Ghế đẩu,Ghế đẩu,,0
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),5,MAT_HANG,Ghế băng,Ghế băng,,0
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),6,MAT_HANG,Ghế băng tựa,Ghế băng tựa,,10560
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),7,MAT_HANG,Ghế hội trường,Ghế hội trường,,311945
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),8,MAT_HANG,Xalon đệm,Xalon đệm,,37440
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),9,MAT_HANG,Xalon gỗ,Xalon gỗ,,251600
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),10,MAT_HANG,Xalon mây,Xalon mây,,0
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),11,MAT_HANG,Ghế khác,Ghế khác,,194800
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),4,MAT_HANG,Tủ - hòm,Tủ - hòm,,2779406
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),1,MAT_HANG,"Tủ quần, áo gỗ các loại","Tủ quần, áo gỗ các loại",,255246
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),2,MAT_HANG,Tủ tài liệu gỗ,Tủ tài liệu gỗ,,896800
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),3,MAT_HANG,Tủ tài liệu sắt,Tủ tài liệu sắt,,736560
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),4,MAT_HANG,Tủ đầu giường (Tủ cá nhân),Tủ đầu giường (Tủ cá nhân),,514800
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),5,MAT_HANG,Tủ thuốc quân y,Tủ thuốc quân y,,16000
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),6,MAT_HANG,Tủ sách,Tủ sách,,23200
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),7,MAT_HANG,Két sắt,Két sắt,,60800
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),8,MAT_HANG,Hòm tài liệu,Hòm tài liệu,,3000
DOANH CỤ,I,Doanh cụ khác (Thường xuyên),9,MAT_HANG,Tủ hòm khác (tủ hòm gỗ 2 buồng),Tủ hòm khác (tủ hòm gỗ 2 buồng),,273000
DỤNG CỤ SINH HOẠT,II,,II,NHOM_CHINH,DỤNG CỤ SINH HOẠT,DỤNG CỤ SINH HOẠT,,518104
DỤNG CỤ SINH HOẠT,II,,1,MAT_HANG,Dụng cụ sinh hoạt theo thiết kế mẫu,Dụng cụ sinh hoạt theo thiết kế mẫu,,518104
DỤNG CỤ SINH HOẠT,II,,1,MAT_HANG,Chậu giặt fi 450-600 (Bằng nhôm),Chậu giặt fi 450-600 (Bằng nhôm),,27625
DỤNG CỤ SINH HOẠT,II,,2,MAT_HANG,Chậu rửa mặt fi 370 (Bằng nhôm),Chậu rửa mặt fi 370 (Bằng nhôm),,16352
DỤNG CỤ SINH HOẠT,II,,3,MAT_HANG,Xô tôn 4L,Xô tôn 4L,,14269
DỤNG CỤ SINH HOẠT,II,,4,MAT_HANG,"Chậu nhựa 34,5 lít","Chậu nhựa 34,5 lít",,202560
DỤNG CỤ SINH HOẠT,II,,5,MAT_HANG,"Chậu rửa mặt 8,2 lít","Chậu rửa mặt 8,2 lít",,125250
DỤNG CỤ SINH HOẠT,II,,6,MAT_HANG,Xô múc nước 5 lít,Xô múc nước 5 lít,,132048
DỤNG CỤ SINH HOẠT,II,,2,MAT_HANG,Dụng cụ sinh hoạt khác,Dụng cụ sinh hoạt khác,,
"PHƯƠNG TIỆN, THIẾT BỊ",III,,III,NHOM_CHINH,"PHƯƠNG TIỆN, THIẾT BỊ","PHƯƠNG TIỆN, THIẾT BỊ",,5229460
"PHƯƠNG TIỆN, THIẾT BỊ",III,,1,MAT_HANG,"Phòng, chống, cháy","Phòng, chống, cháy",,45140
"PHƯƠNG TIỆN, THIẾT BỊ",III,,1,MAT_HANG,Bơm nước chữa cháy các loại,Bơm nước chữa cháy các loại,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,2,MAT_HANG,Bình CO2 các loại,Bình CO2 các loại,,16640
"PHƯƠNG TIỆN, THIẾT BỊ",III,,3,MAT_HANG,Bình bọt các loại,Bình bọt các loại,,28500
"PHƯƠNG TIỆN, THIẾT BỊ",III,,4,MAT_HANG,Các loại bình khí khác,Các loại bình khí khác,,0
