commune_code,commune_full_name,province_code,province_full_name,boundary_source_url
00376,Xã Sóc Sơn,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00376_soc_son.geojson
00382,Xã Kim Anh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00382_kim_anh.geojson
00385,Xã Trung Giã,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00385_trung_gia.geojson
00430,Xã Đa Phúc,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00430_da_phuc.geojson
00433,Xã Nội Bài,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00433_noi_bai.geojson
00454,Xã Đông Anh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00454_dong_anh.geojson
00466,Xã Phúc Thịnh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00466_phuc_thinh.geojson
00475,Xã Thư Lâm,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00475_thu_lam.geojson
00493,Xã Thiên Lộc,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00493_thien_loc.geojson
00508,Xã Vĩnh Thanh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00508_vinh_thanh.geojson
00541,Xã Phù Đổng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00541_phu_dong.geojson
00562,Xã Thuận An,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00562_thuan_an.geojson
00565,Xã Gia Lâm,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00565_gia_lam.geojson
00577,Xã Bát Tràng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00577_bat_trang.geojson
00592,Phường Từ Liêm,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00592_tu_liem.geojson
00598,Phường Thượng Cát,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00598_thuong_cat.geojson
00602,Phường Đông Ngạc,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00602_dong_ngac.geojson
00611,Phường Xuân Đỉnh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00611_xuan_dinh.geojson
00613,Phường Tây Tựu,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00613_tay_tuu.geojson
00619,Phường Phú Diễn,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00619_phu_dien.geojson
00622,Phường Xuân Phương,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00622_xuan_phuong.geojson
00634,Phường Tây Mỗ,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00634_tay_mo.geojson
00637,Phường Đại Mỗ,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00637_dai_mo.geojson
00640,Xã Thanh Trì,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00640_thanh_tri.geojson
00643,Phường Thanh Liệt,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00643_thanh_liet.geojson
00664,Xã Đại Thanh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00664_dai_thanh.geojson
00679,Xã Ngọc Hồi,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00679_ngoc_hoi.geojson
00685,Xã Nam Phù,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/00685_nam_phu.geojson
04930,Xã Yên Xuân,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/04930_yen_xuan.geojson
08974,Xã Quang Minh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/08974_quang_minh.geojson
08980,Xã Yên Lãng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/08980_yen_lang.geojson
08995,Xã Tiến Thắng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/08995_tien_thang.geojson
09022,Xã Mê Linh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09022_me_linh.geojson
09552,Phường Kiến Hưng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09552_kien_hung.geojson
09556,Phường Hà Đông,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09556_ha_dong.geojson
09562,Phường Yên Nghĩa,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09562_yen_nghia.geojson
09568,Phường Phú Lương,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09568_phu_luong.geojson
09574,Phường Sơn Tây,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09574_son_tay.geojson
09604,Phường Tùng Thiện,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09604_tung_thien.geojson
09616,Xã Đoài Phương,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09616_doai_phuong.geojson
09619,Xã Quảng Oai,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09619_quang_oai.geojson
09634,Xã Cổ Đô,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09634_co_do.geojson
09661,Xã Minh Châu,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09661_minh_chau.geojson
09664,Xã Vật Lại,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09664_vat_lai.geojson
09676,Xã Bất Bạt,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09676_bat_bat.geojson
09694,Xã Suối Hai,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09694_suoi_hai.geojson
09700,Xã Ba Vì,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09700_ba_vi.geojson
09706,Xã Yên Bài,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09706_yen_bai.geojson
09715,Xã Phúc Thọ,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09715_phuc_tho.geojson
09739,Xã Phúc Lộc,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09739_phuc_loc.geojson
09772,Xã Hát Môn,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09772_hat_mon.geojson
09784,Xã Đan Phượng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09784_dan_phuong.geojson
